permno,date,ret,retx,prc,vol,shrout,mktcap,conm,tic,gvkey,datadate,atq,ltq,ceqq,saleq,niq,mkvaltq,prccq,cshtrq,ps,pb,pe,ev,ev_sales,ps_z,pb_z,ev_sales_z,pe_z,bubble_index,bubble_type
84788,2015-01-05,-0.020517,-0.020517,302.19,2774231.0,464384.0,140332200.96,AMAZON.COM INC,AMZN,064768,2014-12-31,54505.0,43764.0,10741.0,29329.0,214.0,144312.75,310.35,265879564.0,4784.759144873675,13065.096449120194,655757.948411215,140365223.96,4785.885095298169,-2.479480962268252,-0.5541389025615501,-2.4794607577641177,0.09256235109100729,-1.355129567875728,dotcom
59328,2015-01-05,-0.011276,-0.011276,35.95,32784975.0,4748000.0,170690600.0,INTEL CORP,INTC,006008,2014-12-31,91956.0,35179.0,55865.0,14721.0,3661.0,172304.92,36.29,2052490600.0,11595.041097751511,3055.412154300546,46624.03714832013,170669914.0,11593.635894300658,0.18916750892312315,0.8652928876256469,0.18900473178663707,0.14573856843798896,0.347300924193349,dotcom
78050,2015-01-05,0.005917,0.005917,1.7,8560.0,14992.0,25486.399999999998,BOOKS-A-MILLION INC,BAMM,025896,2014-10-31,326.959,232.584,91.841,101.156,-6.892,21.2886,1.42,902221.0,251.95144133813116,277.5056891802136,-3697.9686593151473,25627.142999999996,253.3427873779113,-1.3543378816003475,-2.033231072700287,-1.346902624731217,0.3340502902233102,-1.1001053222021353,dotcom
87227,2015-01-05,-0.013672,-0.013672,5.05,26699.0,26674.0,134703.69999999998,EGAIN CORP,EGAN,124036,2014-12-31,50.001,45.104,4.897,18.903,-5.461,138.1713,5.18,4260102.0,7126.048775326667,27507.392280988355,-24666.489653909535,134743.90699999998,7128.175792202295,-0.7260121482578935,0.8016476328134879,-0.7259898246222434,0.19341023806139135,-0.1142360255013144,dotcom
87264,2015-01-05,-0.023864,-0.023864,46.63,124151.0,21279.0,992239.77,INTERACTIVE INTELLIGENCE GRP,ININ,124038,2014-12-31,338.723,167.993,170.73,92.556,-29.863,1019.2641,47.9,9028641.0,10720.426228445482,5811.748198910561,-33226.39286073067,992237.033,10720.39665715891,0.7669472229802963,0.4551590429253939,0.7665597154164613,1.2913843743520976,0.8200125889185623,dotcom
77178,2015-01-05,-0.004712,-0.004712,73.93,12042759.0,1654000.0,122280220.00000001,QUALCOMM INC,QCOM,024800,2014-12-31,48447.0,9628.0,38823.0,7099.0,1972.0,122941.82,74.33,675937215.0,17224.99225242992,3149.6849805527654,62008.225152129824,122251025.00000001,17220.879701366393,0.1628067035162531,-0.6641454470579452,0.16110377502947867,-0.3074474998230111,-0.16192061708380615,dotcom
76076,2015-01-05,-0.01992,-0.01992,27.06,30449003.0,5113588.0,138373691.28,CISCO SYSTEMS INC,CSCO,020779,2014-10-31,103978.0,47263.0,56708.0,12245.0,1828.0,125017.23,24.47,1728573620.0,11300.423951000408,2440.108825562531,75696.76765864332,138364246.28,11299.652615761535,-1.5528919587925707,-1.3575497092141104,-1.5531392706501563,0.41780935401407165,-1.0114428961606914,dotcom
87299,2015-01-05,-0.020712,-0.020712,61.94,2237401.0,178301.0,11043963.94,AKAMAI TECHNOLOGIES INC,AKAM,125595,2014-12-31,4001.546,1056.211,2945.335,536.295,97.107,11225.831,62.96,103011018.0,20593.07645978426,3749.6461149580605,113729.84378057194,11042074.815999998,20589.553913424512,0.7660235430558017,0.2302849115530344,0.7654748644161185,-0.41882922698256414,0.3357385230105976,dotcom
87510,2015-01-05,-0.027866,-0.027866,12.21,51918.0,17014.0,207740.94,PFSWEB INC,PFSW,126718,2014-12-31,140.746,100.641,40.105,78.681,2.104,215.3972,12.66,3609139.0,2640.293590574599,5179.926193741429,98736.18821292775,207801.476,2641.062975813729,0.3244523138971156,1.2712086832607519,0.3246230375530516,0.8360837675306423,0.6890919505603903,dotcom
10107,2015-01-05,-0.009303,-0.009303,46.325,39673865.0,8218000.0,380698850.0,MICROSOFT CORP,MSFT,012141,2014-12-31,174848.0,82969.0,91879.0,26470.0,5863.0,381726.1,46.45,1996640310.0,14382.276161692482,4143.480555948585,64932.43220194439,380689940.0,14381.939554212317,-1.6609366830678667,-1.8437511327337832,-1.6611845974292159,-0.6275621890720788,-1.4483586505757362,dotcom
84788,2015-01-06,-0.022833,-0.022833,295.29001,3519034.0,464384.0,137127956.00384,AMAZON.COM INC,AMZN,064768,2014-12-31,54505.0,43764.0,10741.0,29329.0,214.0,144312.75,310.35,265879564.0,4675.507381903236,12766.777395385905,640784.8411394393,137160979.00384,4676.63333232773,-2.516432283606035,-0.6053467379697616,-2.516411847943528,0.07919211606983081,-1.3897496883623734,dotcom
76076,2015-01-06,-0.00037,-0.00037,27.05,47307504.0,5113588.0,138322555.4,CISCO SYSTEMS INC,CSCO,020779,2014-10-31,103978.0,47263.0,56708.0,12245.0,1828.0,125017.23,24.47,1728573620.0,11296.24788893426,2439.2070854200465,75668.79398249454,138313110.4,11295.476553695386,-1.5547198616238103,-1.3582301643029024,-1.554966622449727,0.41635015646372114,-1.0128916229781797,dotcom
78050,2015-01-06,-0.029412,-0.029412,1.65,1407.0,14992.0,24736.8,BOOKS-A-MILLION INC,BAMM,025896,2014-10-31,326.959,232.584,91.841,101.156,-6.892,21.2886,1.42,902221.0,244.54110482818615,269.34375714550146,-3589.2048752176433,24877.542999999998,245.93245086796628,-1.4285794039046829,-2.14328864941745,-1.4210293420443267,0.3580648160380933,-1.1587081448320917,dotcom
87299,2015-01-06,-0.020504,-0.020504,60.67,1411606.0,178301.0,10817521.67,AKAMAI TECHNOLOGIES INC,AKAM,125595,2014-12-31,4001.546,1056.211,2945.335,536.295,97.107,11225.831,62.96,103011018.0,20170.841924686974,3672.764446149589,111397.95967335002,10815632.545999998,20167.319378327225,0.6298240314449172,0.09312142699743539,0.6292628356083776,-0.45642747055609123,0.22394520587365974,dotcom
10107,2015-01-06,-0.014571,-0.014571,45.65,36447854.0,8218000.0,375151700.0,MICROSOFT CORP,MSFT,012141,2014-12-31,174848.0,82969.0,91879.0,26470.0,5863.0,381726.1,46.45,1996640310.0,14172.712504722327,4083.1060416417245,63986.303939962476,375142790.0,14172.37589724216,-1.6791303099408492,-1.8626585513933744,-1.6793793086376283,-0.6455139457238108,-1.4666705289239157,dotcom
59328,2015-01-06,-0.018637,-0.018637,35.28,30838978.0,4748000.0,167509440.0,INTEL CORP,INTC,006008,2014-12-31,91956.0,35179.0,55865.0,14721.0,3661.0,172304.92,36.29,2052490600.0,11378.944365192581,2998.468450729437,45755.1051625239,167488754.0,11377.53916174173,0.07062481250170587,0.788858646399674,0.07047432041167216,0.13961412268735654,0.2673929755001021,dotcom
87510,2015-01-06,-0.014742,-0.014742,12.03,35960.0,17014.0,204678.41999999998,PFSWEB INC,PFSW,126718,2014-12-31,140.746,100.641,40.105,78.681,2.104,215.3972,12.66,3609139.0,2601.3703435391008,5103.563645430744,97280.61787072242,204738.95599999998,2602.139728778231,0.28622167063370524,1.2239001598126964,0.2863756345973631,0.8321272401434164,0.6571561762967952,dotcom
87264,2015-01-06,-0.073772,-0.073772,43.19,160556.0,21279.0,919040.01,INTERACTIVE INTELLIGENCE GRP,ININ,124038,2014-12-31,338.723,167.993,170.73,92.556,-29.863,1019.2641,47.9,9028641.0,9929.556268637365,5383.002460024601,-30775.207112480326,919037.273,9929.526697350793,0.38144384287502336,0.14648643709038983,0.38103125653534614,1.3209823154892317,0.5574859629974978,dotcom
87227,2015-01-06,-0.013861,-0.013861,4.98,50304.0,26674.0,132836.52000000002,EGAIN CORP,EGAN,124036,2014-12-31,50.001,45.104,4.897,18.903,-5.461,138.1713,5.18,4260102.0,7027.27186160927,27126.101694915258,-24324.577916132577,132876.727,7029.398878484898,-0.7437621951336756,0.7923333324171548,-0.7437411665612609,0.19353814184225468,-0.12540797185888175,dotcom
77178,2015-01-06,-0.014203,-0.014203,72.88,11093997.0,1654000.0,120543519.99999999,QUALCOMM INC,QCOM,024800,2014-12-31,48447.0,9628.0,38823.0,7099.0,1972.0,122941.82,74.33,675937215.0,16980.352162276376,3104.9511887283306,61127.54563894522,120514324.99999999,16976.239611212844,0.08839829580786053,-0.6673513039547352,0.08671498485320188,-0.3170298062772807,-0.20231695739273836,dotcom
10107,2015-01-07,0.012705,0.012705,46.23,29222067.0,8218000.0,379918140.0,MICROSOFT CORP,MSFT,012141,2014-12-31,174848.0,82969.0,91879.0,26470.0,5863.0,381726.1,46.45,1996640310.0,14352.782017378164,4134.983402083175,64799.273409517315,379909230.0,14352.445409897999,-1.663497267590731,-1.8464121768414294,-1.6637453345622515,-0.6300887326008411,-1.4509358778988133,dotcom
77178,2015-01-07,0.011663,0.011663,73.73,10031624.0,1654000.0,121949420.0,QUALCOMM INC,QCOM,024800,2014-12-31,48447.0,9628.0,38823.0,7099.0,1972.0,122941.82,74.33,675937215.0,17178.39414001972,3141.164258300492,61840.47667342799,121920225.0,17174.28158895619,0.148633673476559,-0.6647560864668576,0.14693448166256765,-0.30927270105239585,-0.1696151580950317,dotcom
78050,2015-01-07,-0.024182,-0.024182,1.6101,1746.0,14992.0,24138.6192,BOOKS-A-MILLION INC,BAMM,025896,2014-10-31,326.959,232.584,91.841,101.156,-6.892,21.2886,1.42,902221.0,238.62765629325003,262.8305353818012,-3502.411375507835,24279.3622,240.01900233303016,-1.4878241387035427,-2.231114595637746,-1.4801824624601883,0.3772284076382902,-1.2054731972907966,dotcom
76076,2015-01-07,0.009242,0.009242,27.3,27570801.0,5113588.0,139600952.4,CISCO SYSTEMS INC,CSCO,020779,2014-10-31,103978.0,47263.0,56708.0,12245.0,1828.0,125017.23,24.47,1728573620.0,11400.649440587995,2461.750588982154,76368.13588621444,139591507.4,11399.878105349122,-1.5090222908428055,-1.3412187870831074,-1.5092828274604686,0.45283009522249507,-0.9766734525409716,dotcom
84788,2015-01-07,0.0106,0.0106,298.42001,2640349.0,464384.0,138581477.92384,AMAZON.COM INC,AMZN,064768,2014-12-31,54505.0,43764.0,10741.0,29329.0,214.0,144312.75,310.35,265879564.0,4725.066586785775,12902.102031825712,647576.9996441121,138614500.92384,4726.19253721027,-2.4996702831122284,-0.5821176427351744,-2.4996499523086713,0.08525717349980995,-1.3740451761640662,dotcom
87510,2015-01-07,-0.012469,-0.012469,11.88,24428.0,17014.0,202126.32,PFSWEB INC,PFSW,126718,2014-12-31,140.746,100.641,40.105,78.681,2.104,215.3972,12.66,3609139.0,2568.934304342853,5039.928188505174,96067.64258555134,202186.856,2569.703689581983,0.2543628012475307,1.184476390272651,0.2545027988009559,0.8288301339873947,0.630543031077133,dotcom
87227,2015-01-07,0.004016,0.004016,5.0,11430.0,26674.0,133370.0,EGAIN CORP,EGAN,124036,2014-12-31,50.001,45.104,4.897,18.903,-5.461,138.1713,5.18,4260102.0,7055.493836957097,27235.041862364713,-24422.26698406885,133410.207,7057.6208538327255,-0.7386907531691664,0.7949945611018213,-0.7386693545786845,0.19350159790486515,-0.12221598718529113,dotcom
59328,2015-01-07,0.020975,0.020975,36.02,27853167.0,4748000.0,171022960.0,INTEL CORP,INTC,006008,2014-12-31,91956.0,35179.0,55865.0,14721.0,3661.0,172304.92,36.29,2052490600.0,11617.61836831737,3061.3614964646918,46714.82108713466,171002274.0,11616.213164866518,0.20155256675819655,0.8732785546194056,0.20138850610939565,0.14637843590447291,0.3556495158478677,dotcom
87264,2015-01-07,0.004399,0.004399,43.38,93645.0,21279.0,923083.02,INTERACTIVE INTELLIGENCE GRP,ININ,124038,2014-12-31,338.723,167.993,170.73,92.556,-29.863,1019.2641,47.9,9028641.0,9973.238039673279,5406.683183974697,-30910.592371831364,923080.283,9973.208468386707,0.4027361807296752,0.16353521473825353,0.40232497955494273,1.3193475454845647,0.571985980126859,dotcom
87299,2015-01-07,-0.008406,-0.008406,60.16,1848677.0,178301.0,10726588.16,AKAMAI TECHNOLOGIES INC,AKAM,125595,2014-12-31,4001.546,1056.211,2945.335,536.295,97.107,11225.831,62.96,103011018.0,20001.283174372315,3641.890705132014,110461.53377202468,10724699.035999998,19997.760628012566,0.5751297393807032,0.038040027687707145,0.5745635169533,-0.47152597781790145,0.1790518265509522,dotcom
10107,2015-01-08,0.029418,0.029418,47.59,29645202.0,8218000.0,391094620.0,MICROSOFT CORP,MSFT,012141,2014-12-31,174848.0,82969.0,91879.0,26470.0,5863.0,381726.1,46.45,1996640310.0,14775.013978088402,4256.626867945885,66705.54664847348,391085710.0,14774.677370608235,-1.6268404786318327,-1.8083172296161796,-1.6270863608682653,-0.593919267346981,-1.4140408341158146,dotcom
59328,2015-01-08,0.018601,0.018601,36.69,31765571.0,4748000.0,174204120.0,INTEL CORP,INTC,006008,2014-12-31,91956.0,35179.0,55865.0,14721.0,3661.0,172304.92,36.29,2052490600.0,11833.7151008763,3118.3052000358007,47583.75307293089,174183434.0,11832.309897425446,0.32009526317961384,0.9497127958453786,0.3199189174843606,0.1525028816551053,0.4355574645411146,dotcom
87510,2015-01-08,-0.000842,-0.000842,11.87,10302.0,17014.0,201956.18,PFSWEB INC,PFSW,126718,2014-12-31,140.746,100.641,40.105,78.681,2.104,215.3972,12.66,3609139.0,2566.7719017297695,5035.685824710136,95986.77756653991,202016.716,2567.5412869689,0.2522388766217854,1.1818481389699813,0.2523779430811956,0.8286103269103265,0.6287688213958222,dotcom
77178,2015-01-08,0.010511,0.010511,74.505,10937230.0,1654000.0,123231269.99999999,QUALCOMM INC,QCOM,024800,2014-12-31,48447.0,9628.0,38823.0,7099.0,1972.0,122941.82,74.33,675937215.0,17358.96182560924,3174.18205702805,62490.50202839756,123202074.99999999,17354.849274545708,0.2035541648803715,-0.6623898587573223,0.20184049345934152,-0.30220004628853037,-0.1397988116765349,dotcom
87227,2015-01-08,0.028,0.028,5.14,17093.0,26674.0,137104.36,EGAIN CORP,EGAN,124036,2014-12-31,50.001,45.104,4.897,18.903,-5.461,138.1713,5.18,4260102.0,7253.0476643918955,27997.62303451092,-25106.090459622777,137144.56699999998,7255.174681267523,-0.7031906594176017,0.8136231618944884,-0.703166670700649,0.19324579034313846,-0.09987209447015596,dotcom
87264,2015-01-08,0.01337,0.01337,43.96,103555.0,21279.0,935424.84,INTERACTIVE INTELLIGENCE GRP,ININ,124038,2014-12-31,338.723,167.993,170.73,92.556,-29.863,1019.2641,47.9,9028641.0,10106.582393361856,5478.971709717097,-31323.873689850316,935422.103,10106.552822075284,0.46773384365440107,0.21557885176857344,0.4673268708779211,1.3143571949440014,0.6162491903112243,dotcom
76076,2015-01-08,0.007692,0.007692,27.51,40937993.0,5113588.0,140674805.88,CISCO SYSTEMS INC,CSCO,020779,2014-10-31,103978.0,47263.0,56708.0,12245.0,1828.0,125017.23,24.47,1728573620.0,11488.346743977134,2480.6871319743245,76955.58308533917,140665360.88,11487.57540873826,-1.4706363313867605,-1.3269292302184794,-1.4709084396694923,0.4834732437798655,-0.9462501893737166,dotcom
87299,2015-01-08,0.023438,0.023438,61.57,1207365.0,178301.0,10977992.57,AKAMAI TECHNOLOGIES INC,AKAM,125595,2014-12-31,4001.546,1056.211,2945.335,536.295,97.107,11225.831,62.96,103011018.0,20470.06324877167,3727.2475185335456,113050.4759698065,10976103.445999999,20466.54070241192,0.7263433703817653,0.19032389636754588,0.7257910449996909,-0.42978304597642636,0.303168816443144,dotcom
78050,2015-01-08,0.030992,0.030992,1.66,31368.0,14992.0,24886.719999999998,BOOKS-A-MILLION INC,BAMM,025896,2014-10-31,326.959,232.584,91.841,101.156,-6.892,21.2886,1.42,902221.0,246.02317213017514,270.9761435524439,-3610.957632037144,25027.462999999996,247.41451816995527,-1.413731099443816,-2.1212771340740177,-1.406203998581705,0.35326191087513675,-1.1469875803061005,dotcom
84788,2015-01-08,0.006836,0.006836,300.45999,3088398.0,464384.0,139528811.99616,AMAZON.COM INC,AMZN,064768,2014-12-31,54505.0,43764.0,10741.0,29329.0,214.0,144312.75,310.35,265879564.0,4757.366838152,12990.299971712131,652003.7943745794,139561834.99616,4758.492788576495,-2.48874563590221,-0.5669780613624411,-2.4887253734405577,0.08921007952409406,-1.3638097477952786,dotcom
59328,2015-01-09,0.001908,0.001908,36.76,22850524.0,4748000.0,174536480.0,INTEL CORP,INTC,006008,2014-12-31,91956.0,35179.0,55865.0,14721.0,3661.0,172304.92,36.29,2052490600.0,11856.292371442158,3124.254542199946,47674.53701174542,174515794.0,11854.887167991305,0.3324803210146872,0.9576984628391367,0.3323026918071182,0.1531427491215893,0.44390605619563284,dotcom
