permno,date,ret,retx,prc,vol,shrout,mktcap,conm,tic,gvkey,datadate,atq,ltq,ceqq,saleq,niq,mkvaltq,prccq,cshtrq,ps,pb,pe,ev,ev_sales,ps_z,pb_z,ev_sales_z,pe_z,bubble_index,bubble_type
13447,2015-01-02,-0.006927,-0.006927,67.38,815825.0,148300.0,9992454.0,SERVICENOW INC,NOW,171007,2014-12-31,1425.079,996.404,428.675,198.004,-44.663,10144.1857,67.85,75431850.0,50465.91988040646,23310.092727590833,-223730.02261379667,9993021.728999998,50468.78714066382,-0.38808305795663256,-0.7861752206033008,-0.388048239619086,-0.08179270198938862,-0.411024805042102,ai
59328,2015-01-02,0.001929,0.001929,36.36,23605607.0,4748000.0,172637280.0,INTEL CORP,INTC,006008,2014-12-31,91956.0,35179.0,55865.0,14721.0,3661.0,172304.92,36.29,2052490600.0,11727.27939678011,3090.2583012619707,47155.77164709096,172616594.0,11725.874193329257,0.26170856195712466,0.9120660800176603,0.2615382671056459,0.1494863635988237,0.39619981816981364,ai
53613,2015-01-02,-0.007426,-0.007426,34.75,15138243.0,1077313.0,37436626.75,MICRON TECHNOLOGY INC,MU,007343,2014-11-30,22542.0,9996.0,11678.0,4573.0,1003.0,38646.25,35.95,1621407560.0,8186.448010059043,3205.739574413427,37324.65279162512,37434944.75,8186.080198994096,-0.4387911726179018,2.5402373407855494,-0.4384146111431199,0.012646380421933712,0.4189194843616153,ai
85442,2015-01-02,-0.004468,-0.004468,22.28,6080289.0,1073361.0,23914483.080000002,TAIWAN SEMICONDUCTOR MFG CO,TSM,201395,2014-12-31,47314.362,14223.357,33086.978,6390.253,2309.416,,22.38,741821580.0,3742.3374442295167,722.7762861872728,10355.208017957786,23895619.459000003,3739.3855077412436,-1.1743688737661893,-0.9366604403601199,-1.1741576518680974,-1.1402353231481457,-1.1063555722856382,ai
86580,2015-01-02,0.00399,0.00399,20.13,2842012.0,543537.0,10941399.809999999,NVIDIA CORP,NVDA,117768,2014-10-31,6885.869,2681.276,4204.593,1225.382,172.967,10620.713,19.54,454927024.0,8928.970565913321,2602.2494472116564,63257.152000092494,10939876.492999999,8927.727429487293,-1.5203601899205077,-1.2253372219879846,-1.5203526874028417,-1.0999810924424536,-1.3415077979384469,ai
93002,2015-01-02,-0.004971,-0.004971,100.09,1350045.0,255332.0,25556179.880000003,BROADCOM INC,AVGO,180711,2014-10-31,10491.0,7248.0,3243.0,1590.0,135.0,21936.0488,86.25,150154863.0,16073.069106918241,7880.413160653717,189305.03614814818,25560184.880000003,16075.587974842769,-0.9571840590899494,0.04336764241971426,-0.9571820639913848,0.4982427614015502,-0.3431889298150175,ai
81472,2015-01-02,-0.003988,-0.003988,107.4,395748.0,82468.0,8857063.200000001,ASML HOLDING NV,ASML,061214,2014-12-31,14767.994,5677.009,9090.985,1577.969,321.889,,107.83,44960268.0,5612.951331743527,974.2688168553793,27515.89274563592,8853649.224000001,5610.787806351076,-0.388139945882394,-0.8097161230767883,-0.38862952470803624,-0.04501350035980443,-0.4078747735067557,ai
53613,2015-01-05,-0.028058,-0.028058,33.775,23706638.0,1077313.0,36386246.574999996,MICRON TECHNOLOGY INC,MU,007343,2014-11-30,22542.0,9996.0,11678.0,4573.0,1003.0,38646.25,35.95,1621407560.0,7956.756303301989,3115.7943633327623,36277.41433200398,36384564.574999996,7956.388492237043,-0.48472093519763026,2.3761844732996473,-0.484359342883696,0.002426758365623296,0.3523827383959861,ai
86580,2015-01-05,-0.01689,-0.01689,19.79,4948799.0,543537.0,10756597.23,NVIDIA CORP,NVDA,117768,2014-10-31,6885.869,2681.276,4204.593,1225.382,172.967,10620.713,19.54,454927024.0,8778.158345724027,2558.2968981777785,62188.72519035423,10755073.913,8776.915209297998,-1.52518534530957,-1.2284553374432854,-1.5251778104534455,-1.1076636886679279,-1.3466205454685571,ai
81472,2015-01-05,-0.033613,-0.033613,103.79,678703.0,82468.0,8559353.72,ASML HOLDING NV,ASML,061214,2014-12-31,14767.994,5677.009,9090.985,1577.969,321.889,,107.83,44960268.0,5424.285090518255,941.5210474992534,26591.010317221157,8555939.744,5422.121565125804,-0.4482654948925333,-0.8262774952223152,-0.44872955683765625,-0.11627785210489469,-0.45988759976434984,ai
85442,2015-01-05,-0.024237,-0.024237,21.74,9031768.0,1073361.0,23334868.139999997,TAIWAN SEMICONDUCTOR MFG CO,TSM,201395,2014-12-31,47314.362,14223.357,33086.978,6390.253,2309.416,,22.38,741821580.0,3651.6344720623733,705.2583690175632,10104.22900854588,23316004.518999998,3648.6825355741,-1.2233324729025197,-0.9829345235167876,-1.2231134732937772,-1.1901898693346378,-1.1548925847619307,ai
93002,2015-01-05,-0.015986,-0.015986,98.49,1559603.0,255332.0,25147648.68,BROADCOM INC,AVGO,180711,2014-10-31,10491.0,7248.0,3243.0,1590.0,135.0,21936.0488,86.25,150154863.0,15816.131245283019,7754.439925994449,186278.8791111111,25151653.68,15818.650113207546,-0.9787629685808943,0.010389375119681795,-0.978760591105804,0.47741857005490923,-0.3674289036280268,ai
