permno,date,ret,retx,prc,vol,shrout,mktcap,conm,tic,gvkey,datadate,atq,ltq,ceqq,saleq,niq,mkvaltq,prccq,cshtrq,ps,pb,pe,ev,ev_sales,ps_z,pb_z,ev_sales_z,pe_z,bubble_index,bubble_type
92213,2007-08-28,,,6.03,232622.0,28010.0,168900.30000000002,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,954238.9830508477,13368.711413645718,-155812.08487084872,168891.60900000003,954189.8813559324,0.42348418012431105,2.0418080752536656,0.4236157005749321,-1.1336250263071899,0.43882073241142977,crypto
92213,2007-08-29,-0.004975,-0.004975,6.0,59191.0,28010.0,168060.0,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,949491.5254237289,13302.200411587779,-155036.90036900368,168051.309,949442.4237288137,0.41840761642341134,2.0279734469029727,0.41853870804475357,-1.1278975883035904,0.43425554576688674,crypto
92213,2007-08-30,-0.008333,-0.008333,5.95,40170.0,28010.0,166659.5,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,941579.0960451978,13191.348741491214,-153744.92619926197,166650.809,941529.9943502826,0.4099466769219122,2.004915732985152,0.4100770538277897,-1.1183518582975915,0.4266469013593156,crypto
92213,2007-08-31,0.00316,0.00316,5.9688,39813.0,28010.0,167186.088,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,944554.1694915254,13233.028969447521,-154230.70848708486,167177.397,944505.0677966102,0.41312799017447577,2.0135854334182524,0.413258635813368,-1.1219410527798472,0.4295077516565623,crypto
92213,2007-09-04,0.001876,0.001876,5.98,28365.0,28010.0,167499.80000000002,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,946326.5536723165,13257.859743549154,-154520.110701107,167491.10900000003,946277.4519774013,0.41502324062281176,2.0187503613358446,0.4151540463579681,-1.124079296301191,0.43121208800385835,crypto
92213,2007-09-05,-0.013378,-0.013378,5.9,62696.0,28010.0,165259.0,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,933666.6666666667,13080.49707139465,-152452.9520295203,165250.309,933617.5649717515,0.40148573742041305,1.9818580190673312,0.4016153996108259,-1.1088061282915929,0.4190382569517443,crypto
92213,2007-09-06,0.023729,0.023729,6.04,394096.0,28010.0,169180.4,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,955821.4689265537,13390.88174766503,-156070.47970479704,169171.709,955772.3672316385,0.42517636802461073,2.0464196180372287,0.4253080314183247,-1.1355341723083894,0.4403424612929437,crypto
92213,2007-09-07,-0.023179,-0.023179,5.9,101835.0,28010.0,165259.0,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,933666.6666666667,13080.49707139465,-152452.9520295203,165250.309,933617.5649717515,0.40148573742041305,1.9818580190673312,0.4016153996108259,-1.1088061282915929,0.4190382569517443,crypto
92213,2007-09-10,-0.016949,-0.016949,5.8,56170.0,28010.0,162458.0,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,917841.8079096045,12858.79373120152,-149869.0036900369,162449.309,917792.7062146894,0.38456385841741464,1.9357425912316901,0.3846920911768981,-1.089714668279595,0.40382096813660195,crypto
92213,2007-09-11,0.024138,0.024138,5.94,54845.0,28010.0,166379.40000000002,RIOT PLATFORMS INC,RIOT,148170,2007-06-30,16.577,3.943,12.634,0.177,-1.084,129.8373,4.65,4012735.0,939996.6101694917,13169.178407471903,-153486.53136531365,166370.70900000003,939947.5084745765,0.40825448902161254,2.000304190201588,0.4083847229843971,-1.116442712296392,0.4251251724778014,crypto
