permno,date,ret,retx,prc,vol,shrout,mktcap,conm,tic,gvkey,datadate,atq,ltq,ceqq,saleq,niq,mkvaltq,prccq,cshtrq,ps,pb,pe,ev,ev_sales,ps_z,pb_z,ev_sales_z,pe_z,bubble_index,bubble_type
93436,2010-07-14,0.093716,0.093716,19.84,4268066.0,93198.0,1849048.32,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,65095.87466995247,-5969.0043418610285,-48006.0316224005,1849496.619,65111.657067417706,1.0798701511880793,-1.074442675574402,1.0802905422403002,-0.2876068019596021,0.19952780397359382,ev
93436,2010-07-15,0.00252,0.00252,19.89,3808547.0,93198.0,1853708.22,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,65259.92677345537,-5984.047195545154,-48127.01456499727,1854156.5189999999,65275.70917092061,1.0864707741049202,-1.0751132236293024,1.086890690225338,-0.28769305987983634,0.20263879520527983,ev
93436,2010-07-16,0.037707,0.037707,20.64,2668775.0,93198.0,1923606.72,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,67720.70832599894,-6209.690000807038,-49941.7587039489,1924055.0189999999,67736.49072346417,1.1854801178575358,-1.0851714444528098,1.1858929100009068,-0.28898692868335035,0.2493036636805706,ev
93436,2010-07-19,0.061531,0.061531,21.91,2523874.0,93198.0,2041968.18,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,71887.63175497271,-6591.778484383827,-53014.725445906995,2042416.4789999998,71903.41415243794,1.3531359399452976,-1.1022033650472824,1.3535366688208699,-0.2911778798573008,0.32832284096539605,ev
93436,2010-07-20,-0.073483,-0.073483,20.3,1851514.0,93198.0,1891919.4000000001,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,66605.1540221792,-6107.398595754984,-49119.07469429083,1892367.699,66620.93641964442,1.1405958820230169,-1.0806117176794865,1.141011903702649,-0.28840037482575737,0.2281489233051055,ev
93436,2010-07-21,-0.003941,-0.003941,20.22,1273773.0,93198.0,1884463.5599999998,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,66342.67065657454,-6083.330029860383,-48925.50198613598,1884911.8589999997,66358.45305403977,1.1300348853560709,-1.0795388407916457,1.1304516669265878,-0.2882623621533825,0.2231713373344076,ev
93436,2010-07-22,0.038576,0.038576,21.0,978395.0,93198.0,1957158.0,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,68901.88347121986,-6317.998547332742,-50812.835890645685,1957606.2989999999,68917.66586868509,1.2330046028587913,-1.0899993904480936,1.2334139754931799,-0.2896079857090371,0.2717028005487101,ev
93436,2010-07-23,0.01381,0.01381,21.29,671447.0,93198.0,1984185.42,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,69853.3856715367,-6405.24709870067,-51514.53695770698,1984633.7189999998,69869.16806900193,1.271288215776469,-1.0938885691665163,1.2716948338063998,-0.29010828164639585,0.2897465496924892,ev
93436,2010-07-26,-0.01597,-0.01597,20.95,937571.0,93198.0,1952498.0999999999,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,68737.83136771695,-6302.955693648616,-50691.85294804891,1952946.3989999997,68753.61376518218,1.22640397994195,-1.0893288423931928,1.226813827508142,-0.28952172778880286,0.26859180931702403,ev
93436,2010-07-27,-0.019093,-0.019093,20.55,635634.0,93198.0,1915218.9000000001,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,67425.41453969372,-6182.612864175612,-49723.98940727471,1915667.199,67441.19693715895,1.1735989966072222,-1.0839644579539889,1.1740126436278389,-0.2888316644269287,0.2437038794635359,ev
93436,2010-07-28,0.008273,0.008273,20.72,478097.0,93198.0,1931062.5599999998,TESLA INC,TSLA,184996,2010-06-30,147.974,138.524,-309.775,28.405,-38.517,2220.9083,23.83,35916360.0,67983.19169160358,-6233.758566701638,-50135.33141210374,1931510.8589999997,67998.97408906881,1.1960411145244811,-1.0862443213406507,1.1964531467769672,-0.2891249413557252,0.2542812496512681,ev
